dt,vix,sp500,sp500_volume,djia,djia_volume,hsi,ads,us3m,joblessness,epu,GPRD,prev_day,sp500_pct_change,djia_pct_change
2016-10-11,15.36,2136.72998,3438270000.0,18128.66,88.61,23549.519531,-0.272904,0.35,1,92.5178482617544,85.3754577636719,2163.659912,-1.2446471763257416,-1.0932378346056315
2016-10-12,15.91,2139.179932,2977100000.0,18144.2,72.23,23407.050781,-0.27872,0.37,1,92.5178482617544,101.612503051758,2136.72998,0.11465894253985809,0.08572062138072489
2016-10-13,16.69,2132.550049,3580450000.0,18098.94,83.16,23031.300781,-0.283967,0.3,1,92.5178482617544,112.539222717285,2139.179932,-0.30992638350910706,-0.24944610398915934
2016-10-14,16.12,2132.97998,3228150000.0,18138.38,87.05,23233.310547,-0.288645,0.32,1,92.5178482617544,93.1805267333984,2132.550049,0.020160417815362486,0.2179133142603984
2016-10-17,16.21,2126.5,2830390000.0,18086.4,75.96,23037.539063,-0.300186,0.34,1,92.5178482617544,128.757049560547,2132.97998,-0.30379938212078406,-0.28657465550947503
2016-10-18,15.28,2139.600098,3170000000.0,18161.94,74.8,23394.390625,-0.304403,0.34,1,92.5178482617544,114.423759460449,2126.5,0.6160403479896548,0.4176618895965767
2016-10-19,14.41,2144.290039,3362670000.0,18202.62,88.04,23304.970703,-0.308957,0.35,1,92.5178482617544,112.19987487793,2139.600098,0.2191970828747003,0.2239848826722346
2016-10-20,13.75,2141.340088,3337170000.0,18162.35,88.83,23374.400391,-0.31385,0.35,1,92.5178482617544,115.554695129395,2144.290039,-0.1375723874264545,-0.22123188859626275
2016-10-21,13.34,2141.159912,3448850000.0,18145.71,117.82,23374.400391,-0.319085,0.34,1,92.5178482617544,78.9812774658203,2141.340088,-0.00841417022030555,-0.09161810008065929
2016-10-24,13.02,2151.330078,3357320000.0,18223.03,88.55,23604.080078,-0.33614,0.33,1,92.5178482617544,86.0407180786133,2141.159912,0.4749839534638145,0.42610622565883993
2016-10-25,13.46,2143.159912,3751340000.0,18169.27,83.19,23565.109375,-0.341331,0.34,1,92.5178482617544,71.296989440918,2151.330078,-0.3797727779455973,-0.2950113126082732
2016-10-26,14.24,2139.429932,3775200000.0,18199.33,86.34,23325.429688,-0.346159,0.33,1,92.5178482617544,96.9532012939453,2143.159912,-0.17404114266579285,0.16544418130173266
2016-10-27,15.36,2133.040039,4204830000.0,18169.68,83.53,23132.349609,-0.350625,0.3,1,92.5178482617544,99.0939025878906,2139.429932,-0.298672693338764,-0.1629180854460066
2016-10-28,16.19,2126.409912,4019510000.0,18161.19,107.85,22954.810547,-0.354733,0.3,1,92.5178482617544,82.2097091674805,2133.040039,-0.31082993655890956,-0.046726194407398225
2016-10-31,17.06,2126.149902,3922400000.0,18142.42,110.08,22934.539063,-0.366,0.34,1,92.5178482617544,63.8147888183594,2126.409912,-0.012227651805640782,-0.10335225830465644
2016-11-01,18.56,2111.719971,4532160000.0,18037.1,101.28,23147.070313,-0.370854,0.35,1,169.377822387896,89.6714172363281,2126.149902,-0.6786883176217451,-0.580517924290147
2016-11-02,19.32,2097.939941,4248580000.0,17959.64,88.61,22810.5,-0.374929,0.37,1,169.377822387896,77.0364608764648,2111.719971,-0.6525500629458225,-0.429448192891313
2016-11-03,22.08,2088.659912,3886740000.0,17930.67,77.86,22683.509766,-0.378228,0.38,1,169.377822387896,62.0509796142578,2097.939941,-0.44234006982948326,-0.16130612863064497
